Customer_id,Customer_name,Routing Number,Account_number,Account_balance,Address,City,State,Region,Phone_number,Account Age,Account_Creation_Date,Average Check Transaction,No. of instances of fraud,Debit/Credit,Mode of Check Submission,Payer/Payee,Location_id,Unnamed: 18,Transaction_id,Check_number,Account_number.1,Payer_name,Payee_name,Routing number,Date_issued,Date Cleared,Amount_transferred,Mode_of_deposit,Region.1,No. of instances of fraud.1
1.0,Jane Doe,111000123.0,437829154602.0,"$10,000.00",123 Main St,Springfield,Illinois,Midwest,123-456-7890,"1 year, 9 months",2023-01-01,"$1,234",0.0,Credit,Online,Robert Thompson,LOC-9832,,1001,101,437829154602,Jane Doe,Emily Davis,111000123,2024-09-15,2024-09-18,"$3,500",Check Deposit,North,0
2.0,Emily Davis,888000234.0,591276384015.0,"$8,500.00",456 Oak Ave,Madison,Wisconsin,Midwest,234-567-8901,"3 years, 7 months",2021-03-05,"$4,876",1.0,Debit,ATM,David Price,LOC-7456,,1002,102,983164750428,Sarah Turner,Robert Thompson,111000124,2024-09-20,2024-09-22,"$5,000",Check Deposit,North,1
3.0,Daniel Harris,777000901.0,826534719230.0,"$5,200.00",789 Pine Rd,Gotham,New York,Northeast,345-678-9012,"1 year, 7 months",2023-02-14,"$2,987",0.0,Credit,Online,Jacob Reed,LOC-1123,,1003,105,562830914723,Laura Collins,Jacob Reed,222000456,2024-09-25,2024-09-28,"$7,200",ATM Deposit,East,0
4.0,Sarah Turner,111000124.0,983164750428.0,"$7,000.00",101 Maple St,Metropolis,Illinois,Midwest,456-789-0123,"2 years, 3 months",2022-06-18,"$3,412",0.0,Debit,Bank,Daniel Harris,LOC-5690,,1004,108,482736190542,David Price,Olivia Brooks,333000789,2024-09-30,2024-10-02,"$2,000",Mobile Deposit,South,0
5.0,Robert Thompson,999000567.0,724951638704.0,"$12,500.00",202 Birch Blvd,Springfield,Missouri,Midwest,567-890-1234," 3 years, 2 months",2021-07-22,$786,0.0,Credit,Online,Jane Doe,LOC-3208,,1005,104,150926847301,Paulezi Damzel,Jessica Morgan,444000012,2024-09-12,2024-09-15,"$1,500",Branch Deposit,West,0
6.0,Laura Collins,222000456.0,562830914723.0,"$6,750.00",303 Elm St,Gotham,New Jersey,Northeast,678-901-2345,"1 year, 5 months",2023-05-03,"$2,650",1.0,Debit,ATM,Olivia Brooks,LOC-8784,,1006,106,893267405128,Emma Phillips,Andrew Bennett,555000345,2024-09-18,2024-09-20,"$4,000",Check Deposit,North,1
7.0,Jacob Reed,105002012.0,319467582091.0,"$15,000.00",404 Cedar Ln,Madison,Alabama,South,789-012-3456,"1 year, 3 months",2023-06-09,"$1,945",1.0,Credit,Online,Andrew Bennett,LOC-4512,,1007,103,709385214069,Matthew Clark,Megan Foster,666000678,2024-09-22,2024-09-24,"$5,600",ATM Deposit,South,1
8.0,Olivia Brooks,101000890.0,657102983457.0,"$9,000.00",505 Redwood Dr,Metropolis,Illinois,Midwest,890-123-4567,"4 years, 1 month",2020-08-15,"$4,320",0.0,Debit,ATM,Jessica Morgan,LOC-9961,,1008,109,826534719230,Daniel Harris,Sarah Turner,777000901,2024-09-26,2024-09-29,"$8,000",Mobile Deposit,East,0
9.0,David Price,333000789.0,482736190542.0,"$8,000.00",606 Fir St,Springfield,Ohio,Midwest,901-234-5678,1 year,2023-09-07,"$3,150",0.0,Debit,Bank,Emily Davis,LOC-2389,,1009,101,591276384015,Emily Davis,David Price,888000234,2024-09-14,2024-09-17,"$10,500",Branch Deposit,West,0
10.0,Jessica Morgan,102001123.0,734928560172.0,"$10,300.00",707 Ash Ct,Gotham,New York,Northeast,012-345-6789,"3 years, 11 months",2020-10-11,$870,2.0,Debit,ATM,Paulezi Damzel,LOC-5647,,1010,105,724951638704,Robert Thompson,Jane Doe,999000567,2024-09-20,2024-09-23,"$6,200",Check Deposit,North,2
